
id,topic,question,answer,law_refs,url
1.0,Купля-продажа,Какие документы нужны для оформления купли-продажи квартиры?,"Паспорта сторон, договор купли-продажи, выписка из ЕГРН, акт приёма-передачи, согласие супруга при совместной собственности, нотариальное согласие при долях.","ГК РФ: ст. 209, 454–491; ФЗ-218 «О госрегистрации недвижимости»; ЖК РФ — применимые нормы",https://www.consultant.ru/document/cons_doc_LAW_5142/9bc79ae09d078798e7a4ee4647ac9ea495da9fa0/ https://base.garant.ru/10164072/5d1a59bc21ec6051be896193ce5b1042/ https://www.consultant.ru/document/cons_doc_LAW_182661/ https://www.consultant.ru/document/cons_doc_LAW_51057/
2.0,Купля-продажа,Нужно ли нотариальное удостоверение договора при продаже доли?,"Да, отчуждение долей в праве общей собственности на недвижимость подлежит обязательному нотариальному удостоверению.","ГК РФ: ст. 250, 163; ФЗ-218",https://www.consultant.ru/document/cons_doc_LAW_5142/0ff3b21848f337af3a5013254c669d9a8c7e5681/ https://www.consultant.ru/document/cons_doc_LAW_5142/18ab15e1d6c896470cfdd508294c9e4595ae3f43/ https://www.consultant.ru/document/cons_doc_LAW_182661/
3.0,Купля-продажа,Как проверить квартиру перед покупкой?,"Заказать выписку из ЕГРН, проверить правообладателей, обременения (ипотека, арест), сверить данные продавца, изучить историю перехода прав.",ФЗ-218; ГК РФ: общие положения о праве собственности,https://www.consultant.ru/document/cons_doc_LAW_182661/ https://www.consultant.ru/document/cons_doc_LAW_5142/9bc79ae09d078798e7a4ee4647ac9ea495da9fa0/
4.0,Купля-продажа,Что такое акт приёма-передачи и обязателен ли он?,Документ подтверждает фактическую передачу объекта. Желателен для фиксации состояния и сроков передачи; часто обязателен по условиям договора.,"ГК РФ: ст. 556, 458, 459",https://www.consultant.ru/document/cons_doc_LAW_5142/3b3fa6370c557bb581e558c094a04e34fafec0ed/ https://www.consultant.ru/document/cons_doc_LAW_5142/194c123f27bd42ebd7fb35904c3e1c7a10ba56c4/ https://www.consultant.ru/document/cons_doc_LAW_5142/7ae2b0d76c4b5a913ee191507433cb0f869e62f1/
5.0,Купля-продажа,Нужно ли согласие супруга при продаже квартиры?,"Если имущество совместное — требуется нотариально удостоверенное согласие супруга, иначе сделка может быть оспорена.","СК РФ: ст. 34, 35; ГК РФ: ст. 253",https://www.consultant.ru/document/cons_doc_LAW_8959/bd7ce0876470862fb3b2a644d5ec6b5f961254c0/ https://www.consultant.ru/document/cons_doc_LAW_8959/6cb1a7793b73a3a98bf7f915d7b1f290a6cd2522/ https://www.consultant.ru/document/cons_doc_LAW_5142/ebf4f27fa2f9d6bd012015a1f0271d9644ed39da/
6.0,Купля-продажа,"Как оформить продажу квартиры, где собственник — несовершеннолетний?",Требуется согласие органа опеки и попечительства; условия сделки не должны ухудшать права ребёнка.,ГК РФ: ст. 26–28; СК РФ; ФЗ-48 «Об опеке и попечительстве»,https://www.consultant.ru/document/cons_doc_LAW_5142/7bf3c7feb21c947b3f9e834f40d7e5c2421a5901/ https://www.consultant.ru/document/cons_doc_LAW_5142/c5206fe63f2f88f3d1d3d86c3c3e44fa3fcdef9a/ https://www.consultant.ru/document/cons_doc_LAW_5142/5955f0b01628f17bbfcab3d410bcf05adba28611/ https://www.consultant.ru/document/cons_doc_LAW_8959/ https://www.consultant.ru/document/cons_doc_LAW_76459/
7.0,Купля-продажа,Нужно ли регистрировать переход права собственности?,"Да, право собственности у покупателя возникает после государственной регистрации перехода права в ЕГРН.",ФЗ-218; ГК РФ: ст. 551,https://www.consultant.ru/document/cons_doc_LAW_182661/ https://www.consultant.ru/document/cons_doc_LAW_5142/8e153786e23d0684ca418f38b9ba11668f4500e5/
8.0,Купля-продажа,Можно ли рассчитываться наличными при покупке квартиры?,"Да, но безопаснее использовать безналичные расчёты (аккредитив, банковская ячейка, эскроу) для снижения рисков.",ГК РФ: общие положения о расчётах; ФЗ-214 — эскроу при долевом строительстве,https://www.consultant.ru/document/cons_doc_LAW_9027/4ca87f5b8ec822f9f1d8f6e2ed7dd8848336a971/ https://www.consultant.ru/document/cons_doc_LAW_51038/7a98b4a331037490d1755fc4cc5c48e3f17ad42b/ https://www.consultant.ru/document/cons_doc_LAW_51038/722ac5b540c642ea7c990a3f68128e92ac611c0d/
9.0,Купля-продажа,Чем отличается объект с обременением (ипотека) и как его купить?,Потребуется согласие банка-залогодержателя и согласованный механизм расчётов; обременение снимается после погашения.,ФЗ-102 «Об ипотеке»; ФЗ-218,https://www.consultant.ru/document/cons_doc_LAW_19396/ https://www.consultant.ru/document/cons_doc_LAW_182661/
10.0,Купля-продажа,Можно ли расторгнуть договор купли-продажи после регистрации?,"Возможно по соглашению сторон или через суд при существенных нарушениях, наличии скрытых дефектов, обмана и др.","ГК РФ: ст. 450–452, 460–461, 475",https://www.consultant.ru/document/cons_doc_LAW_5142/56aa5a2ba5028c8a83510bbe0a3275f06b1a149a/ https://www.consultant.ru/document/cons_doc_LAW_5142/095d0f6008a306ca1c1c73b9bab5e1ba426aaaaf/ https://www.consultant.ru/document/cons_doc_LAW_5142/cc5b64cf68545a7dcddcb680b167b1d545a5a9ac/ https://www.consultant.ru/document/cons_doc_LAW_5142/9cac28a741b93d7adf0544a65fac5ab007a0e9ba/ https://www.consultant.ru/document/cons_doc_LAW_5142/07cf4b26d761b3bcf7a69a64c401e9c1e94d405c/ https://www.consultant.ru/document/cons_doc_LAW_5142/904e8e043c713744b736a2058efa0187da8db0ad/
